pu_number,title,show_start_date,type,film_studio,production_country,director,producer,budget,box_office,refundable_support,nonrefundable_support,financing_source,ratings,genres,age_restriction
121026315,джой (2015),2015-12-30 12:00:00+00:00,художественный,"аннапурна пикчерз, дэвис интертейнмент, фокс 2000",сша,дэвид о.рассел,"джон гордон, джон дэвис, меган эллисон",0,36408445,0,0,нет данных,6.7,"драма,биография",«16+» - для детей старше 16 лет
221017716,элвин и бурундуки: грандиозное бурундуключение,2016-03-29 12:00:00+00:00,художественный,"фокс 2000, ридженси энтерпрайзис, багдасарян продакшнз, сансвет интертейнмент, тэ эс гэ интертейнмент",сша,уолт бекер,"росс багдасарян младший, дженис карман",0,0,0,0,нет данных,5.8,"семейный,комедия,музыка",«6+» - для детей старше 6 лет
121026415,элвин и бурундуки: грандиозное бурундуключение,2015-12-30 12:00:00+00:00,художественный,"фокс 2000, ридженси энтерпрайзис, багдасарян продакшнз, сансвет интертейнмент, тэ эс гэ интертейнмент",сша,уолт бекер,"росс багдасарян младший, дженис карман",0,216000243,0,0,нет данных,5.8,"семейный,комедия,музыка",«6+» - для детей старше 6 лет
221030116,девушка из дании,2016-06-21 12:00:00+00:00,художественный,"артемиз продакшнз, претти пикчерз, уоркинг тайтл филмз",сша - великобритания - германия - бельгия - дания,том хупер,"тим беван, эрик феллнер, энн харрисон",0,0,0,0,нет данных,6.9,"драма,мелодрама,биография",«18+» - запрещено для детей
221025616,девушка из дании,2016-05-30 12:00:00+00:00,художественный,"артемиз продакшнз, претти пикчерз, уоркинг тайтл филмз",сша - великобритания - германия - бельгия - дания,том хупер,"тим беван, эрик феллнер, энн харрисон",0,0,0,0,нет данных,6.9,"драма,мелодрама,биография",«18+» - запрещено для детей
121025215,девушка из дании,2015-12-21 12:00:00+00:00,художественный,"артемиз продакшнз, претти пикчерз, уоркинг тайтл филмз",сша - великобритания - германия - бельгия - дания,том хупер,"тим беван, эрик феллнер, энн харрисон",0,14761087,0,0,нет данных,6.9,"драма,мелодрама,биография",«18+» - запрещено для детей
221029216,сёстры (2015),2016-06-21 12:00:00+00:00,художественный,литл стренджер,сша,джейсон мур,"брайан белл, джей роуч, тина фей",0,0,0,0,нет данных,6.9,"ужасы,триллер,детектив",«18+» - запрещено для детей
121025815,сёстры (2015),2015-12-23 12:00:00+00:00,художественный,литл стренджер,сша,джейсон мур,"брайан белл, джей роуч, тина фей",0,12530627,0,0,нет данных,6.9,"ужасы,триллер,детектив",«18+» - запрещено для детей
221029016,лазурный берег,2016-06-21 12:00:00+00:00,художественный,"джоли пас, пелликола, план би интертейнмент, юниверсал пикчерз",сша - франция,анджелина джоли,"крис бригэм, брэд питт",0,0,0,0,нет данных,5.8,"драма,мелодрама",«18+» - запрещено для детей
221025516,лазурный берег,2016-05-30 12:00:00+00:00,художественный,"джоли пас, пелликола, план би интертейнмент, юниверсал пикчерз",сша - франция,анджелина джоли,"крис бригэм, брэд питт",0,0,0,0,нет данных,5.8,"драма,мелодрама",«18+» - запрещено для детей
121026115,лазурный берег,2015-12-29 12:00:00+00:00,художественный,"джоли пас, пелликола, план би интертейнмент, юниверсал пикчерз",сша - франция,анджелина джоли,"крис бригэм, брэд питт",0,13661902,0,0,нет данных,5.8,"драма,мелодрама",«18+» - запрещено для детей
121001416,запретная зона,2016-01-20 12:00:00+00:00,художественный,претория продакшнс,германия,маттиас олоф эйх,"маттиас олоф эйх, вилли камарад",0,474952,0,0,нет данных,5.6,триллер,«18+» - запрещено для детей
126000416,сборник короткометражных фильмов о любви - 3,2016-02-05 12:00:00+00:00,прочие,"меган артс, остоа медиа, бранкситер продюксьон, шлихт и эргрейфенд фильмпродуцион, магнетфилм",сша - франция - канада - германия - австралия - индия,"у.грайнер, д.гротелл, г.мендеш, м.ситер, а.халискиас,  ж.хосмалин","а.бик, п.бранкати, ф.будвег, м.де конинг, п.а.марион, г.мендеш, м.ситер, ",0,1461209,0,0,нет данных,8.3,"мультфильм,фантастика,фэнтези",«18+» - запрещено для детей
111001216,"детский юмористический киножурнал ""ералаш. ну просто фантазтика!""",2016-02-09 12:00:00+00:00,художественный,"ооо ""продюсерский центр ералаш""",россия,"р.светлов, и.магитон, а.арутюнян, л.мирский, а.зеленков, м.сулейманова и др. ","ооо ""продюсерский центр ералаш""",0,194527,0,0,нет данных,7.2,"детский,комедия",«0+» - для любой зрительской аудитории
121003116,в центре внимания,2016-02-11 12:00:00+00:00,художественный,"анонимус контент, фёст лук медиа, партисипэнт медиа, роклин/фауст",сша,том маккарти,"стив голин, николь роклин, блай пэгон фауст",0,10251855,0,0,нет данных,7.5,"драма,криминал,биография",«18+» - запрещено для детей
121002516,разборка в маниле,2016-02-09 12:00:00+00:00,художественный,голливуд шторм,сша - россия,марк дакаскос,"анджей бартковяк, александр изотов, александр невский",0,2046934,0,0,нет данных,2.6,боевик,«16+» - для детей старше 16 лет
124000216,медведи буни: таинственная зима,2016-02-09 12:00:00+00:00,анимационный,"уорнер бразерс, ле вижинс пикчерз (танджин)",кнр,"динг лианг, фуюань лью","лью дакианг, чонг хиакиу, чанг чад, динг лианг",0,4640706,0,0,нет данных,4.7,"мультфильм,комедия,приключения",«6+» - для детей старше 6 лет
121004016,по ту сторону двери,2016-02-19 12:00:00+00:00,художественный,"42, крити продакшнз, хх век фокс",индия - великобритания,йоханнес робертс,"александр ажа, рори аиткен, бен паг",0,53167839,0,0,нет данных,5.5,ужасы,«18+» - запрещено для детей
121003716,кэрол,2016-02-15 12:00:00+00:00,художественный,"фильм фо, киллер филмз, намбер 9 филмз",великобритания - сша,тодд хейнс,"кристина ванчон, элизабет карлсен, тесса росс",0,13128447,0,0,нет данных,6.8,"драма,мелодрама",«18+» - запрещено для детей
121004516,джейн берет ружье,2016-03-01 12:00:00+00:00,художественный,1821 пикчерз,сша,гэвин о'коннор,"терри дуглас, алин кешишьян, скотт ластайти",0,6375444,0,0,нет данных,5.7,"боевик,драма,вестерн",«18+» - запрещено для детей
111001316,берегись автомобиля (цветная версия),2016-02-11 12:00:00+00:00,художественный,"киностудия ""мосфильм"", зао ""киновидеообъединение ""крупный план"", ооо ""формула цвета"" ","ссср, россия",э.рязанов,"зао ""киновидеообъединение ""крупный план"", ооо ""формула цвета"" ",0,0,0,0,нет данных,8.2,"мелодрама,комедия,криминал",«12+» - для детей старше 12 лет
111002216,мама  _,2016-02-12 12:00:00+00:00,художественный,"киностудия ""мосфильм"", киностудия ""букурешти"", киностудия ""ралюкс-фильм""","ссср, румыния, франция",э.бостан,нет данных,0,240,0,0,нет данных,7.1,"ужасы,драма,триллер",«0+» - для любой зрительской аудитории
